day,start_span,original_entity,lat,lng,resolved_entity
245,429,Bales,15.28456,120.65083,Bales
246,164,Cool,38.88722,-121.01472,Cool
246,199,Fort,29.52749,-95.77089,Fort
246,272,At,47.33333,13.33333,At
247,75,Baghdad,33.34058,44.40088,Baghdad
247,741,Vienna,48.20849,16.37208,Vienna
247,889,Vienna,48.20849,16.37208,Vienna
247,1164,Tripoli,32.88743,13.18733,Tripoli
247,1175,Algeria,28.0,3.0,Algeria
247,2033,Baghdad,33.34058,44.40088,Baghdad
248,641,London,51.50853,-0.12574,London
248,730,London,51.50853,-0.12574,London
249,391,Europe,48.69096,9.14062,Europe
24,134,Batta,47.32949,18.93878,Batta
24,387,Baghdad,33.34058,44.40088,Baghdad
24,477,Aleppo,36.20124,37.16117,Aleppo
250,880,Baghdad,33.34058,44.40088,Baghdad
252,708,Shales,40.74333,20.48778,Shales
253,928,Bombay,19.07283,72.88261,Bombay
253,1017,Vienna,48.20849,16.37208,Vienna
253,1131,Fort,29.52749,-95.77089,Fort
254,104,Memlah,34.30101,70.10191,Memlah
254,389,Coot,51.16679,-56.8148,Coot
254,626,Packages,31.46738,74.35197,Packages
255,390,Took,35.67142,128.11917,Took
257,344,Baghdad,33.34058,44.40088,Baghdad
257,489,Cairo,30.06263,31.24967,Cairo
257,1148,Baghdad,33.34058,44.40088,Baghdad
258,759,Baghdad,33.34058,44.40088,Baghdad
259,159,Oke,-2.80931,26.05576,Oke
259,533,West,51.52604,-131.16073,West
259,657,West,51.52604,-131.16073,West
260,101,Hamraya,34.98587,-5.98834,Hamraya
260,1053,Vienna,48.20849,16.37208,Vienna
261,810,Vienna,48.20849,16.37208,Vienna
261,953,Vienna,48.20849,16.37208,Vienna
264,459,Paris,48.85341,2.3488,Paris
264,554,Vienna,48.20849,16.37208,Vienna
264,565,Paris,48.85341,2.3488,Paris
264,593,Paris,48.85341,2.3488,Paris
264,681,Paris,48.85341,2.3488,Paris
264,1238,Paris,48.85341,2.3488,Paris
264,1266,Alexandre,-8.7,-58.01667,Alexandre
264,1568,Vienna,48.20849,16.37208,Vienna
264,1579,Paris,48.85341,2.3488,Paris
266,244,Paris,48.85341,2.3488,Paris
266,316,Paris,48.85341,2.3488,Paris
266,456,Paris,48.85341,2.3488,Paris
267,614,Fort,29.52749,-95.77089,Fort
267,768,Vienna,48.20849,16.37208,Vienna
268,104,Memlah,34.30101,70.10191,Memlah
268,597,Ely,52.39964,0.26196,Ely
269,487,Ely,52.39964,0.26196,Ely
270,489,Paris,48.85341,2.3488,Paris
270,1025,Erly,40.40897,-77.33888,Erly
270,1249,Paris,48.85341,2.3488,Paris
270,1379,Paris,48.85341,2.3488,Paris
