original_entity,geonames,fcode,lat,lng,resolved_entity
Alexandre,geonames:1053227,MZ,-24.80667,33.20583,Alexandre
Baghdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Baghdadieh,,,,,Baghdadieh
Satur,geonames:91450,IQ,36.18042,43.79816,Satur
Ctesiphon,geonames:90287,IQ,33.08333,44.58333,Ctesiphon
Diala,geonames:1432221,IN,33.23562,74.37585,Diala River
Erly,geonames:5188871,US,40.40897,-77.33888,Erly
Chiha,geonames:172541,SY,35.15507,36.68449,Chiha
Svoboda,geonames:726532,BG,42.23333,25.43333,Svoboda
Bagdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Alexandre,geonames:1053227,MZ,-24.80667,33.20583,Alexandre
Chiha,geonames:172541,SY,35.15507,36.68449,Chiha
Bazin,geonames:3730513,HT,19.73439,-72.35582,Bazin
Serpos,geonames:2510941,ES,37.81195,-6.79419,Serpos
Chiha,geonames:172541,SY,35.15507,36.68449,Chiha
Antone Marine,,,,,Antone Marine
Adoola,geonames:65830,SO,0.1267,41.8943,Adoola
Serpos,geonames:2510941,ES,37.81195,-6.79419,Serpos
Cairo,geonames:360630,EG,30.06263,31.24967,Cairo
Egypt,geonames:357994,EG,27.0,30.0,Egypt
Serpos,geonames:2510941,ES,37.81195,-6.79419,Serpos
Caire,geonames:360630,EG,30.06263,31.24967,Caire
Alexandre,geonames:1053227,MZ,-24.80667,33.20583,Alexandre
Mardin,geonames:304794,TR,37.31775,40.71533,Mardin
Deir,geonames:361838,EG,25.33503,32.58179,Deir
Europe,geonames:6255148,,48.69096,9.14062,Europe
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Damascus,geonames:170654,SY,33.5102,36.29128,Damascus
Blanche,geonames:4284808,US,36.81814,-83.65519,Blanche
Baghdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Baghdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Ctesiphon,geonames:90287,IQ,33.08333,44.58333,Ctesiphon
Moshi,geonames:153209,TZ,-3.35,37.33333,Moshi
Baghdadieh,,,,,Baghdadieh
