original_entity	geonames	fcode	lat	lng
Ismail Beg	geonames:95398	IQ	35.74712	44.51734
Khalifah	geonames:73887	YE	14.88065	43.31353
Baghdad	geonames:98182	IQ	33.34058	44.40088
Blosse	geonames:2781681	AT	47.18333	10.85
Kalat	geonames:1175296	PK	29.02663	66.59361
Chiha	geonames:172541	SY	35.15507	36.68449
Alexandre	geonames:1053227	MZ	-24.80667	33.20583
Baghdad	geonames:98182	IQ	33.34058	44.40088
Baghdadieh				
Satur	geonames:91450	IQ	36.18042	43.79816
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Diala	geonames:1432221	IN	33.23562	74.37585
Erly	geonames:5188871	US	40.40897	-77.33888
Chiha	geonames:172541	SY	35.15507	36.68449
Svoboda	geonames:726532	BG	42.23333	25.43333
Bagdad	geonames:98182	IQ	33.34058	44.40088
Alexandre	geonames:1053227	MZ	-24.80667	33.20583
Chiha	geonames:172541	SY	35.15507	36.68449
Bazin	geonames:3730513	HT	19.73439	-72.35582
Serpos	geonames:2510941	ES	37.81195	-6.79419
Chiha	geonames:172541	SY	35.15507	36.68449
Antone Marine				
Adoola	geonames:65830	SO	0.1267	41.8943
Serpos	geonames:2510941	ES	37.81195	-6.79419
Cairo	geonames:360630	EG	30.06263	31.24967
Egypt	geonames:357994	EG	27	30
Serpos	geonames:2510941	ES	37.81195	-6.79419
Caire	geonames:360630	EG	30.06263	31.24967
Alexandre	geonames:1053227	MZ	-24.80667	33.20583
Mardin	geonames:304794	TR	37.31775	40.71533
Deir	geonames:361838	EG	25.33503	32.58179
Europe	geonames:6255148		48.69096	9.14062
Basreh	geonames:6686495	IR	36.1445	45.574
Basreh	geonames:6686495	IR	36.1445	45.574
Damascus	geonames:170654	SY	33.5102	36.29128
Blanche	geonames:4284808	US	36.81814	-83.65519
Baghdad	geonames:98182	IQ	33.34058	44.40088
Basreh	geonames:6686495	IR	36.1445	45.574
Basreh	geonames:6686495	IR	36.1445	45.574
Baghdad	geonames:98182	IQ	33.34058	44.40088
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Moshi	geonames:153209	TZ	-3.35	37.33333
Baghdadieh				
Okes	geonames:303614	TR	38.22549	31.54934
Khalifah	geonames:73887	YE	14.88065	43.31353
Okes	geonames:303614	TR	38.22549	31.54934
Serpos	geonames:2510941	ES	37.81195	-6.79419
Egypt	geonames:357994	EG	27	30
Pemba	geonames:1028918	MZ	-12.97395	40.51775
Turkistan	geonames:1524787	KZ	43.25	68.66667
Belem	geonames:3405870	BR	-1.45583	-48.50444
Turkistan	geonames:1524787	KZ	43.25	68.66667
London	geonames:2643743	GB	51.50853	-0.12574
Laurence	geonames:3722447	HT	18.89616	-72.01201
Bushire	geonames:139817	IR	28.96887	50.83657
Baghdad	geonames:98182	IQ	33.34058	44.40088
French Republic				
Baghdadieh				
Bostan	geonames:4930956	US	42.35843	-71.05977
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Jany	geonames:95252	IQ	35.35363	44.79273
Port Said	geonames:358617	EG	31.12339	32.41926
Zurich	geonames:2657895	CH	47.41667	8.66667
Switzerland	geonames:2658434	CH	47.00016	8.01427
Marseilles	geonames:2995469	FR	43.29695	5.38107
Mossul	geonames:99072	IQ	36.335	43.11889
Afghanistan	geonames:1149361	AF	33	66
Mossul	geonames:99072	IQ	36.335	43.11889
French Republic				
Antone Marine				
Mons	geonames:2993207	BE	50.63333	3.11667
Mons	geonames:2993207	BE	50.63333	3.11667
French Republic				
Waly	geonames:1121777	AF	33.09084	68.12312
Baghdad	geonames:98182	IQ	33.34058	44.40088
Atta	geonames:408592	YE	13.96804	44.76463
Alla	geonames:2608399	AT	46.8	15.93333
Baghdad	geonames:98182	IQ	33.34058	44.40088
Basreh	geonames:6686495	IR	36.1445	45.574
Diala	geonames:1432221	IN	33.23562	74.37585
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Aleppo	geonames:170063	SY	36.20124	37.16117
Basreh	geonames:6686495	IR	36.1445	45.574
Baghdadieh				
Khalifah	geonames:73887	YE	14.88065	43.31353
Satur	geonames:91450	IQ	36.18042	43.79816
Khalifah	geonames:73887	YE	14.88065	43.31353
Patna	geonames:1260086	IN	25.59408	85.13563
Malamir	geonames:130697	IR	31.83027	49.86756
Blosse	geonames:2781681	AT	47.18333	10.85
Paris	geonames:2988507	FR	48.85341	2.3488
Basreh	geonames:6686495	IR	36.1445	45.574
Blosse	geonames:2781681	AT	47.18333	10.85
Khalifah	geonames:73887	YE	14.88065	43.31353
Ulto	geonames:477685	RU	46.21338	39.58851
Blosse	geonames:2781681	AT	47.18333	10.85
Belem	geonames:3405870	BR	-1.45583	-48.50444
Khalifah	geonames:73887	YE	14.88065	43.31353
Belem	geonames:3405870	BR	-1.45583	-48.50444
France	geonames:3017382	FR	46	2
Khalifah	geonames:73887	YE	14.88065	43.31353
Mily	geonames:3070624	CZ	50.23267	13.86704
Khalifah	geonames:73887	YE	14.88065	43.31353
Basreh	geonames:6686495	IR	36.1445	45.574
Khalifah	geonames:73887	YE	14.88065	43.31353
Khalifah	geonames:73887	YE	14.88065	43.31353
Basreh	geonames:6686495	IR	36.1445	45.574
Basreh	geonames:6686495	IR	36.1445	45.574
Bellem	geonames:3033679	FR	48.37329	0.57005
Blosse	geonames:2781681	AT	47.18333	10.85
Blosse	geonames:2781681	AT	47.18333	10.85
Basreh	geonames:6686495	IR	36.1445	45.574
Blosse	geonames:2781681	AT	47.18333	10.85
Tapo	geonames:2322405	NG	8.35553	4.4635
Baghdad	geonames:98182	IQ	33.34058	44.40088
Voy				
Turkey	geonames:298795	TR	39	35
Katif	geonames:7358227	YE	14.48269	43.97484
Baghdadieh				
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Basreh	geonames:6686495	IR	36.1445	45.574
Khalifah	geonames:73887	YE	14.88065	43.31353
London	geonames:2643743	GB	51.50853	-0.12574
